,Q12_1,Q12_2,Q12_3,Q12_4
Q12_1,0.0,2.2608053267200714e-284,4.95770445958452e-164,1.098812869730402e-180
Q12_2,2.2608053267200714e-284,0.0,2.3934387977394837e-213,3.6739474449596803e-237
Q12_3,4.95770445958452e-164,2.3934387977394837e-213,0.0,2.751515588420963e-220
Q12_4,1.098812869730402e-180,3.6739474449596803e-237,2.751515588420963e-220,0.0
