,B,SE,t,p,CI_lower,CI_upper
const,3.513,0.11,31.976,< .001,3.297,3.728
psych_safety,0.119,0.017,7.158,< .001,0.087,0.152
gender,-0.198,0.031,-6.392,< .001,-0.259,-0.137
age_group,0.091,0.014,6.545,< .001,0.063,0.118
org_type,-0.029,0.029,-1.002,0.316,-0.085,0.027
job_type,-0.116,0.032,-3.648,< .001,-0.178,-0.054
